DATA_DATE,VALUE,ROLLING_MAX_12M,ROLLING_MIN_12M
2021-09-09,4493.28,4536.95,2736.56
2021-09-10,4458.58,4536.95,2736.56
2021-09-13,4468.73,4536.95,2736.56
2021-09-14,4443.05,4536.95,2797.8
2021-09-15,4480.7,4536.95,2797.8
2021-09-16,4473.75,4536.95,2820.0
2021-09-17,4432.99,4536.95,2820.0
2021-09-20,4357.73,4536.95,2820.0
2021-09-21,4354.19,4536.95,2820.0
2021-09-22,4395.64,4536.95,2820.0
2021-09-23,4448.98,4536.95,2820.0
2021-09-24,4455.48,4536.95,2820.0
2021-09-27,4443.11,4536.95,2820.0
2021-09-28,4352.63,4536.95,2820.0
2021-09-29,4359.46,4536.95,2820.0
2021-09-30,4307.54,4536.95,2820.0
2021-10-01,4357.04,4536.95,2820.0
2021-10-04,4300.46,4536.95,2820.0
2021-10-05,4345.72,4536.95,2820.0
2021-10-06,4363.55,4536.95,2852.5
2021-10-07,4399.76,4536.95,2863.7
2021-10-08,4391.34,4536.95,2922.94
2021-10-11,4361.19,4536.95,2922.94
2021-10-12,4350.65,4536.95,2948.51
2021-10-13,4363.8,4536.95,2948.51
2021-10-14,4438.26,4536.95,2955.45
2021-10-15,4471.37,4536.95,2991.77
2021-10-18,4486.46,4536.95,2991.77
2021-10-19,4519.63,4536.95,3002.1
2021-10-20,4536.19,4536.95,3002.1
2021-10-21,4549.78,4549.78,3002.1
2021-10-22,4544.9,4549.78,3002.1
2021-10-25,4566.48,4566.48,3002.1
2021-10-26,4574.79,4574.79,3002.1
2021-10-27,4551.68,4574.79,3002.1
2021-10-28,4596.42,4596.42,3002.1
2021-10-29,4605.38,4605.38,3002.1
2021-11-01,4613.67,4613.67,3002.1
2021-11-02,4630.65,4630.65,3002.1
2021-11-03,4660.57,4660.57,3002.1
2021-11-04,4680.06,4680.06,3009.05
2021-11-05,4697.53,4697.53,3009.05
2021-11-08,4701.7,4701.7,3009.05
2021-11-09,4685.25,4701.7,3009.05
2021-11-10,4646.71,4701.7,3009.05
2021-11-11,4649.27,4701.7,3009.05
2021-11-12,4682.85,4701.7,3009.05
